"UQNO","Q13GENDER","Q14AGE","Q15POPULATION","Q16MARITALSTATUS","Q24APDWRK","Education_Status","Province","Geo_type_code"
160100720000014400,2,27,2,2,1,4,1,3
160100720000014400,1,29,2,2,1,4,1,3
160100720000014400,1,8,2,5,NA,2,1,3
160100720000014400,1,6,2,5,NA,1,1,3
160100880000003296,2,27,4,5,2,6,1,1
160100880000005312,2,66,4,4,1,6,1,1
160100880000009312,2,59,4,4,1,5,1,1
160100880000011296,2,62,4,1,2,6,1,1
160100880000013312,2,73,4,3,2,5,1,1
1.601009e+17,2,64,4,4,2,5,1,1
160100900000002304,1,55,2,1,1,6,1,1
160100900000002304,2,50,2,1,2,6,1,1
160100900000004416,1,44,4,1,1,6,1,1
160100900000004416,2,41,4,1,1,5,1,1
160100900000004416,1,17,4,5,2,4,1,1
160100900000004416,1,12,4,5,NA,2,1,1
160100900000012800,2,77,4,3,2,5,1,1
160101020000001696,1,58,2,1,1,6,1,1
160101020000001696,2,61,2,1,2,6,1,1
160101020000010400,2,82,2,3,2,4,1,1
160101020000013312,2,61,2,3,2,4,1,1
160101020000016192,2,51,2,3,1,5,1,1
160101430000003808,2,57,2,5,2,3,1,1
160101430000003808,2,12,2,5,NA,2,1,1
160101430000006112,1,34,2,5,2,4,1,1
160101430000006112,2,13,2,5,NA,2,1,1
160101430000008416,2,78,2,3,2,2,1,1
160101430000008416,1,13,2,5,NA,2,1,1
160101430000010688,2,41,2,5,1,4,1,1
160101430000010688,1,7,2,5,NA,1,1,1
160101430000012992,2,36,2,5,1,4,1,1
160101430000012992,2,16,2,5,2,4,1,1
160101430000015296,2,39,2,5,2,4,1,1
161100350000004416,1,43,2,2,1,5,1,1
161100350000004416,2,37,2,2,2,4,1,1
161100350000004416,1,15,2,5,2,4,1,1
161100350000004416,2,10,2,5,NA,2,1,1
161100520000017088,2,50,4,1,2,6,1,3
161100520000030496,2,30,4,5,1,6,1,3
161100800000000512,1,41,2,5,2,4,1,1
161100800000000512,1,16,2,5,2,4,1,1
161100800000002912,1,48,1,1,1,4,1,1
161100800000002912,2,41,1,1,1,4,1,1
162100840000008896,1,30,2,5,2,4,1,1
162100910000001600,1,56,2,1,1,4,1,1
162100910000001600,2,12,2,5,NA,2,1,1
162100910000001600,1,7,2,5,NA,2,1,1
162100910000001600,1,3,2,5,NA,1,1,1
162100910000003712,2,50,2,1,2,4,1,1
163100380000004192,1,34,4,1,1,6,1,1
163100380000004192,2,32,4,1,1,6,1,1
163100380000006912,1,62,4,1,2,5,1,1
163100380000015008,1,71,4,1,2,6,1,1
163100380000015008,2,68,4,1,2,5,1,1
163100380000020416,1,68,4,1,2,5,1,1
163100380000020416,2,65,4,1,2,5,1,1
163100380000025792,2,64,4,4,2,4,1,1
163100380000028512,1,80,4,1,2,6,1,1
163100380000028512,2,69,4,1,2,5,1,1
163100380000033888,1,56,4,1,2,6,1,1
163100380000033888,2,57,4,1,2,6,1,1
163101150000006400,1,34,2,2,1,4,1,1
163101150000006400,2,53,2,2,2,4,1,1
163101150000006400,2,15,2,5,2,3,1,1
163101150000006400,1,14,2,5,NA,2,1,1
163101150000006400,2,11,2,5,NA,2,1,1
